
############################################################
#              TABLE 1: DOC COUNT PER TOPIC             #
############################################################

     Topic  |       Count  |     Percent
----------------------------------------
Documents: 15 (2.03%)  |  Average row value: 0.000010
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | hym             |   0.011521 |      1.15%
   2 | kynge           |   0.005578 |      0.56%
   3 | syr             |   0.005476 |      0.55%
   4 | wyll            |   0.005237 |      0.52%
   5 | myght           |   0.004990 |      0.50%
   6 | whan            |   0.004533 |      0.45%
   7 | knyght          |   0.004425 |      0.44%
   8 | degore          |   0.004394 |      0.44%
   9 | rycharde        |   0.004272 |      0.43%
  10 | dyde            |   0.003997 |      0.40%
  11 | chylde          |   0.003955 |      0.40%
  12 | grete           |   0.003888 |      0.39%
  13 | sayd            |   0.003723 |      0.37%
  14 | daye            |   0.003673 |      0.37%
  15 | wolde           |   0.003576 |      0.36%
  16 | theyr           |   0.003075 |      0.31%
  17 | ye              |   0.003033 |      0.30%
  18 | reynawde        |   0.002871 |      0.29%
  19 | brandles        |   0.002765 |      0.28%
  20 | ryght           |   0.002666 |      0.27%

######## Topic 7 ########
Documents: 41 (5.55%)  |  Average row value: 0.000010
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | county          |   0.002109 |      0.21%
   2 | shire           |   0.001926 |      0.19%
   3 | church          |   0.001303 |      0.13%
   4 | henry           |   0.001227 |      0.12%
   5 | edward          |   0.001225 |      0.12%
   6 | earl            |   0.001120 |      0.11%
   7 | north           |   0.001078 |      0.11%
   8 | parish          |   0.001074 |      0.11%
   9 | south           |   0.000979 |      0.10%
  10 | bishop          |   0.000963 |      0.10%
  11 | wales           |   0.000929 |      0.09%
  12 | west            |   0.000896 |      0.09%
  13 | venta           |   0.000894 |      0.09%
  14 | lath            |   0.000868 |      0.09%
  15 | flu             |   0.000853 |      0.09%
  16 | st              |   0.000842 |      0.08%
  17 | year            |   0.000831 |      0.08%
  18 | citie           |   0.000807 |      0.08%
  19 | east            |   0.000798 |      0.08%
  20 | canterbury      |   0.000792 |      0.08%

######## Topic 8 ########
Documents: 32 (4.33%)  |  Average row value: 0.000010
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | theyr           |   0.007923 |      0.79%
   2 | hym             |   0.007568 |      0.76%
   3 | whiche          |   0.005902 |      0.59%
   4 | wyth            |   0.005398 |      0.54%
   5 | grete           |   0.004282 |      0.43%
   6 | tyme            |   0.004188 |      0.42%
   7 | myles           |   0.004070 |      0.41%
   8 | londe           |   0.004069 |      0.41%
   9 | whan            |   0.003868 |      0.39%
  10 | kyng            |   0.003730 |      0.37%
  11 | kynge           |   0.003534 |      0.35%
  12 | hys             |   0.003411 |      0.34%
  13 | haue            |   0.003368 |      0.34%
  14 | saynt           |   0.003050 |      0.31%
  15 | yere            |   0.002900 |      0.29%
  16 | suche           |   0.002813 |      0.28%
  17 | yn              |   0.002644 |      0.26%
  18 | theym           |   0.002542 |      0.25%
  19 | lorde           |   0.002473 |      0.25%
  20 | wyll            |   0.002401 |      0.24%

######## Topic 9 ########
Documents: 52 (7.04%)  |  Average row value: 0.000010
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | dublin          |   0.004493 |      0.45%
   2 | 1689            |   0.004037 |      0.40%
   3 | irish           |   0.003931 |      0.39%
   4 | schomberg       |   0.003780 |      0.38%
   5 | kah             |   0.003777 |      0.38%
   6 | 2012            |   0.003169 |      0.32%
   7 | 00              |   0.003133 |      0.31%
   8 | ireland         |   0.003056 |      0.31%
   9 | fleet           |   0.002895 |      0.29%
  10 | derry           |   0.002737 |      0.27%
  11 | capt            |   0.002661 |      0.27%
  12 | have            |   0.002549 |      0.25%
  13 | james           |   0.002539 |      0.25%
  14 | french          |   0.001948 |      0.19%
  15 | town            |   0.001866 |      0.19%
  16 | guns            |   0.001841 |      0.18%
  17 | sail            |   0.001810 |      0.18%
  18 | admiral         |   0.001704 |      0.17%
  19 | shannon         |   0.001702 |      0.17%
  20 | us              |   0.001630 |      0.16%


############################################################
# TABLE 3: TOP 5 DOCS PER TOPIC & THEIR TOPIC'S BEST WORDS #
############################################################

######## Topic 0 ########
Documents: 39 (5.28%)
Rank |    DocID | Filename                                                     |   Length |       P_dz
