
################################################################################
#        DOC COUNT AND AVG LENGTH PER TOPIC        #
################################################################################

     Topic  |       Count  |     Percent  |   Avg Doc Len
---------------------------------------------------------
        17  |         103  |      13.94%  |      12724.25
        10  |          61  |       8.25%  |      61420.25
        31  |          59  |       7.98%  |     266524.78
        35  |          56  |       7.58%  |     148641.30
        23  |          45  |       6.09%  |     130333.33
        22  |          44  |       5.95%  |     125541.00
         9  |          30  |       4.06%  |     116957.70
         6  |          27  |       3.65%  |     334055.74
         8  |          25  |       3.38%  |     173994.48
         5  |          24  |       3.25%  |     227452.21
        20  |          24  |       3.25%  |     306910.17
         1  |          18  |       2.44%  |     205668.61
        37  |          18  |       2.44%  |     157683.56
        11  |          15  |       2.03%  |     287070.07
         4  |          13  |       1.76%  |     322712.46
        33  |          13  |       1.76%  |     253137.62
        25  |          12  |       1.62%  |     335690.17
        16  |          11  |       1.49%  |     399106.27
        30  |          11  |       1.49%  |     304302.73
        34  |          11  |       1.49%  |     483141.36
        36  |          11  |       1.49%  |     288969.64
        19  |          10  |       1.35%  |     237675.50
        28  |          10  |       1.35%  |     372503.70
         3  |           8  |       1.08%  |     221315.25
         7  |           8  |       1.08%  |     153459.75
        13  |           8  |       1.08%  |     821667.62
        21  |           8  |       1.08%  |     409380.50
        29  |           8  |       1.08%  |     461743.38
         0  |           7  |       0.95%  |     256189.57
        14  |           7  |       0.95%  |     400887.43
        24  |           6  |       0.81%  |     863945.50
        39  |           6  |       0.81%  |    1581173.67
        18  |           5  |       0.68%  |    1145136.00
        12  |           4  |       0.54%  |     743549.50
        38  |           4  |       0.54%  |     313228.25
        15  |           2  |       0.27%  |    2574072.00
        26  |           2  |       0.27%  |    1236448.00
        27  |           2  |       0.27%  |     559925.50
        32  |           2  |       0.27%  |    4434272.00
         2  |           1  |       0.14%  |    4273637.00
