
############################################################
#              TABLE 1: DOC COUNT PER TOPIC             #
############################################################

     Topic  |       Count  |     Percent
----------------------------------------
  13 | our             |   0.004472 |      0.45%
  14 | royall          |   0.004181 |      0.42%
  15 | lawes           |   0.003839 |      0.38%
  16 | indian          |   0.003798 |      0.38%
  17 | indians         |   0.003743 |      0.37%
  18 | imperiall       |   0.003561 |      0.36%
  19 | tobacco         |   0.003517 |      0.35%
  20 | we              |   0.003437 |      0.34%

######## Topic 6 ########
Documents: 94 (12.72%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | have            |   0.009282 |      0.93%
   2 | us              |   0.004166 |      0.42%
   3 | my              |   0.004058 |      0.41%
   4 | love            |   0.003946 |      0.39%
   5 | upon            |   0.003930 |      0.39%
   6 | me              |   0.003725 |      0.37%
   7 | you             |   0.003521 |      0.35%
   8 | never           |   0.003357 |      0.34%
   9 | her             |   0.003297 |      0.33%
  10 | chap            |   0.003242 |      0.32%
  11 | than            |   0.003088 |      0.31%
  12 | he              |   0.003059 |      0.31%
  13 | up              |   0.002901 |      0.29%
  14 | she             |   0.002640 |      0.26%
  15 | heaven          |   0.002634 |      0.26%
  16 | him             |   0.002405 |      0.24%
  17 | its             |   0.002389 |      0.24%
  18 | self            |   0.002359 |      0.24%
  19 | give            |   0.002356 |      0.24%
  20 | themselves      |   0.002257 |      0.23%

######## Topic 7 ########
Documents: 11 (1.49%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | 15              |   0.015710 |      1.57%
   2 | bridg           |   0.015556 |      1.56%
   3 | 18              |   0.015113 |      1.51%
   4 | 13              |   0.014518 |      1.45%
   5 | 16              |   0.014397 |      1.44%
   6 | 17              |   0.014343 |      1.43%
   7 | 52              |   0.014217 |      1.42%
   8 | 19              |   0.013993 |      1.40%
   9 | 20              |   0.013849 |      1.38%
  10 | 14              |   0.013688 |      1.37%
  11 | 22              |   0.012601 |      1.26%
  12 | 51              |   0.012529 |      1.25%
  13 | 21              |   0.012090 |      1.21%
  14 | 23              |   0.011903 |      1.19%
  15 | furlongs        |   0.011095 |      1.11%
  16 | 24              |   0.011048 |      1.10%
  17 | 53              |   0.010938 |      1.09%
  18 | 00              |   0.010773 |      1.08%
  19 | 27              |   0.010119 |      1.01%
  20 | 50              |   0.009885 |      0.99%

######## Topic 8 ########
Documents: 63 (8.53%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | river           |   0.005121 |      0.51%
   2 | have            |   0.004735 |      0.47%
   3 | fairs           |   0.004732 |      0.47%
   4 | st              |   0.004489 |      0.45%
   5 | city            |   0.004488 |      0.45%
   6 | church          |   0.004279 |      0.43%
   7 | jesus           |   0.004122 |      0.41%
   8 | unto            |   0.003956 |      0.40%
   9 | up              |   0.003798 |      0.38%
  10 | four            |   0.003738 |      0.37%
  11 | fair            |   0.003375 |      0.34%
  12 | over            |   0.003188 |      0.32%
  13 | ut              |   0.003130 |      0.31%
  14 | jews            |   0.002748 |      0.27%
  15 | near            |   0.002688 |      0.27%
  16 | christ          |   0.002678 |      0.27%
  17 | having          |   0.002501 |      0.25%
  18 | altar           |   0.002501 |      0.25%
  19 | seen            |   0.002464 |      0.25%
  20 | built           |   0.002454 |      0.25%

######## Topic 9 ########
Documents: 66 (8.93%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | have            |   0.015170 |      1.52%
   2 | us              |   0.007139 |      0.71%
   3 | upon            |   0.006819 |      0.68%
   4 | her             |   0.005024 |      0.50%
   5 | she             |   0.004951 |      0.50%
   6 | you             |   0.004696 |      0.47%
   7 | never           |   0.004261 |      0.43%
   8 | having          |   0.004179 |      0.42%
   9 | than            |   0.004108 |      0.41%
  10 | your            |   0.004079 |      0.41%
  11 | up              |   0.004068 |      0.41%
  12 | several         |   0.003855 |      0.39%
  13 | its             |   0.003635 |      0.36%
  14 | himself         |   0.003588 |      0.36%
  15 | self            |   0.003400 |      0.34%
  16 | ever            |   0.003385 |      0.34%
  17 | sir             |   0.003145 |      0.31%
  18 | tho             |   0.003053 |      0.31%
  19 | he              |   0.003032 |      0.30%
  20 | themselves      |   0.002957 |      0.30%

######## Topic 10 ########
Documents: 33 (4.47%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | my              |   0.008404 |      0.84%
   2 | your            |   0.008109 |      0.81%
   3 | thy             |   0.008010 |      0.80%
   4 | thee            |   0.006994 |      0.70%
   5 | you             |   0.006876 |      0.69%
   6 | thou            |   0.005697 |      0.57%
   7 | vizier          |   0.005304 |      0.53%
   8 | loue            |   0.005137 |      0.51%
   9 | christ          |   0.005015 |      0.50%
  10 | sultan          |   0.004156 |      0.42%
  11 | her             |   0.003850 |      0.38%
  12 | persia          |   0.003539 |      0.35%
  13 | me              |   0.003202 |      0.32%
  14 | heauen          |   0.003104 |      0.31%
  15 | persian         |   0.003037 |      0.30%
  16 | him             |   0.003023 |      0.30%
  17 | ye              |   0.002934 |      0.29%
  18 | mahomet         |   0.002902 |      0.29%
  19 | selfe           |   0.002713 |      0.27%
  20 | persians        |   0.002702 |      0.27%

######## Topic 11 ########
Documents: 63 (8.53%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | hee             |   0.021410 |      2.14%
   2 | vpon            |   0.009844 |      0.98%
   3 | towne           |   0.009222 |      0.92%
   4 | himselfe        |   0.008635 |      0.86%
   5 | vnto            |   0.007045 |      0.70%
   6 | haue            |   0.006305 |      0.63%
   7 | vp              |   0.006262 |      0.63%
   8 | tooke           |   0.005856 |      0.59%
   9 | bee             |   0.005724 |      0.57%
  10 | owne            |   0.005680 |      0.57%
  11 | vs              |   0.005375 |      0.54%
  12 | doe             |   0.004869 |      0.49%
  13 | selfe           |   0.004687 |      0.47%
  14 | againe          |   0.004655 |      0.47%
  15 | hauing          |   0.004463 |      0.45%
  16 | emperour        |   0.004411 |      0.44%
  17 | certaine        |   0.004292 |      0.43%
  18 | beene           |   0.003849 |      0.38%
  19 | wee             |   0.003744 |      0.37%
  20 | ouer            |   0.003646 |      0.36%

######## Topic 12 ########
Documents: 14 (1.89%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | india           |   0.017729 |      1.77%
   2 | stock           |   0.012338 |      1.23%
   3 | company         |   0.011903 |      1.19%
   4 | trade           |   0.011877 |      1.19%
   5 | 00              |   0.011457 |      1.15%
   6 | dublin          |   0.010610 |      1.06%
   7 | acres           |   0.009046 |      0.90%
   8 | east            |   0.007853 |      0.79%
   9 | pounds          |   0.007650 |      0.76%
  10 | indies          |   0.007404 |      0.74%
  11 | charter         |   0.006433 |      0.64%
  12 | william         |   0.005607 |      0.56%
  13 | merchant        |   0.004788 |      0.48%
  14 | commodities     |   0.004778 |      0.48%
  15 | harbour         |   0.004435 |      0.44%
  16 | merchants       |   0.004322 |      0.43%
  17 | trading         |   0.004233 |      0.42%
  18 | bay             |   0.004181 |      0.42%
  19 | pound           |   0.004133 |      0.41%
