
############################################################
#              TABLE 1: DOC COUNT PER TOPIC             #
############################################################

     Topic  |       Count  |     Percent
----------------------------------------
   8 | edward          |   0.006408 |      0.64%
   9 | le              |   0.005619 |      0.56%
  10 | anno            |   0.005021 |      0.50%
  11 | canterbury      |   0.004610 |      0.46%
  12 | sonne           |   0.004608 |      0.46%
  13 | quod            |   0.004544 |      0.45%
  14 | county          |   0.004483 |      0.45%
  15 | iohn            |   0.004299 |      0.43%
  16 | la              |   0.004174 |      0.42%
  17 | saxons          |   0.004062 |      0.41%
  18 | parish          |   0.004000 |      0.40%
  19 | bishop          |   0.003908 |      0.39%
  20 | et              |   0.003851 |      0.39%

######## Topic 6 ########
Documents: 73 (9.88%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | have            |   0.009551 |      0.96%
   2 | she             |   0.005914 |      0.59%
   3 | her             |   0.005861 |      0.59%
   4 | upon            |   0.004904 |      0.49%
   5 | me              |   0.004591 |      0.46%
   6 | he              |   0.004500 |      0.45%
   7 | my              |   0.004380 |      0.44%
   8 | him             |   0.004218 |      0.42%
   9 | than            |   0.004213 |      0.42%
  10 | himself         |   0.004034 |      0.40%
  11 | self            |   0.003913 |      0.39%
  12 | you             |   0.003595 |      0.36%
  13 | never           |   0.003444 |      0.34%
  14 | love            |   0.003348 |      0.33%
  15 | having          |   0.003147 |      0.31%
  16 | us              |   0.003102 |      0.31%
  17 | was             |   0.003020 |      0.30%
  18 | had             |   0.002875 |      0.29%
  19 | would           |   0.002779 |      0.28%
  20 | up              |   0.002735 |      0.27%

######## Topic 7 ########
Documents: 8 (1.08%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | john            |   0.029636 |      2.96%
   2 | mr              |   0.021486 |      2.15%
   3 | james           |   0.020827 |      2.08%
   4 | richard         |   0.020246 |      2.02%
   5 | robert          |   0.017026 |      1.70%
   6 | thomas          |   0.012508 |      1.25%
   7 | capt            |   0.012292 |      1.23%
   8 | 72              |   0.011723 |      1.17%
   9 | 70              |   0.010245 |      1.02%
  10 | sir             |   0.009948 |      0.99%
  11 | 90              |   0.009381 |      0.94%
  12 | 64              |   0.009034 |      0.90%
  13 | 80              |   0.008603 |      0.86%
  14 | esq             |   0.008558 |      0.86%
  15 | william         |   0.007940 |      0.79%
  16 | edward          |   0.007272 |      0.73%
  17 | plot            |   0.007124 |      0.71%
  18 | tho             |   0.006591 |      0.66%
  19 | board           |   0.006562 |      0.66%
  20 | 100             |   0.005968 |      0.60%

######## Topic 8 ########
Documents: 36 (4.87%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | have            |   0.014981 |      1.50%
   2 | india           |   0.011769 |      1.18%
   3 | trade           |   0.010937 |      1.09%
   4 | stock           |   0.009582 |      0.96%
   5 | company         |   0.009082 |      0.91%
   6 | scots           |   0.006556 |      0.66%
   7 | parliament      |   0.006553 |      0.66%
   8 | darien          |   0.005836 |      0.58%
   9 | indies          |   0.005594 |      0.56%
  10 | upon            |   0.005535 |      0.55%
  11 | interest        |   0.005034 |      0.50%
  12 | majesty         |   0.005032 |      0.50%
  13 | east            |   0.004899 |      0.49%
  14 | its             |   0.004801 |      0.48%
  15 | nation          |   0.004700 |      0.47%
  16 | scotland        |   0.004497 |      0.45%
  17 | charter         |   0.004309 |      0.43%
  18 | colony          |   0.004175 |      0.42%
  19 | general         |   0.004034 |      0.40%
  20 | than            |   0.003971 |      0.40%

######## Topic 9 ########
Documents: 16 (2.17%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | river           |   0.018198 |      1.82%
   2 | county          |   0.014957 |      1.50%
   3 | town            |   0.013464 |      1.35%
   4 | south           |   0.009885 |      0.99%
   5 | miles           |   0.008567 |      0.86%
   6 | towns           |   0.008462 |      0.85%
   7 | west            |   0.008338 |      0.83%
   8 | north           |   0.007683 |      0.77%
   9 | lat             |   0.007432 |      0.74%
  10 | province        |   0.007138 |      0.71%
  11 | pag             |   0.006238 |      0.62%
  12 | east            |   0.006116 |      0.61%
  13 | rivers          |   0.005589 |      0.56%
  14 | lath            |   0.005481 |      0.55%
  15 | description     |   0.005094 |      0.51%
  16 | shire           |   0.004752 |      0.48%
  17 | flanders        |   0.004533 |      0.45%
  18 | haven           |   0.004433 |      0.44%
  19 | navigable       |   0.004391 |      0.44%
  20 | fair            |   0.004246 |      0.42%

######## Topic 10 ########
Documents: 27 (3.65%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | vs              |   0.020687 |      2.07%
   2 | wee             |   0.015404 |      1.54%
   3 | shippes         |   0.009078 |      0.91%
   4 | shippe          |   0.008549 |      0.85%
   5 | vpon            |   0.008479 |      0.85%
   6 | maister         |   0.008391 |      0.84%
   7 | captaine        |   0.008262 |      0.83%
   8 | admirall        |   0.008007 |      0.80%
   9 | iland           |   0.007275 |      0.73%
  10 | haue            |   0.006995 |      0.70%
  11 | tooke           |   0.006585 |      0.66%
  12 | downe           |   0.006161 |      0.62%
  13 | fiue            |   0.006102 |      0.61%
  14 | iohn            |   0.005826 |      0.58%
  15 | vp              |   0.005797 |      0.58%
  16 | vnto            |   0.005774 |      0.58%
  17 | towne           |   0.005331 |      0.53%
  18 | hauing          |   0.004786 |      0.48%
  19 | foure           |   0.004664 |      0.47%
  20 | winde           |   0.004641 |      0.46%

######## Topic 11 ########
Documents: 57 (7.71%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | haue            |   0.010279 |      1.03%
   2 | hee             |   0.008150 |      0.81%
   3 | doe             |   0.007280 |      0.73%
   4 | bee             |   0.005763 |      0.58%
   5 | beene           |   0.005430 |      0.54%
   6 | wee             |   0.004993 |      0.50%
   7 | selfe           |   0.003978 |      0.40%
   8 | neere           |   0.003591 |      0.36%
   9 | owne            |   0.003452 |      0.35%
  10 | yeare           |   0.003383 |      0.34%
  11 | vse             |   0.003325 |      0.33%
  12 | worke           |   0.003285 |      0.33%
  13 | farre           |   0.003031 |      0.30%
  14 | lesse           |   0.003019 |      0.30%
  15 | yeares          |   0.003011 |      0.30%
  16 | foure           |   0.002946 |      0.29%
  17 | captaine        |   0.002812 |      0.28%
  18 | mee             |   0.002784 |      0.28%
  19 | yeere           |   0.002687 |      0.27%
  20 | seene           |   0.002666 |      0.27%

######## Topic 12 ########
Documents: 7 (0.95%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | furlongs        |   0.021378 |      2.14%
   2 | you             |   0.010074 |      1.01%
   3 | quoth           |   0.009635 |      0.96%
   4 | furl            |   0.009317 |      0.93%
   5 | sir             |   0.008313 |      0.83%
   6 | her             |   0.008058 |      0.81%
   7 | lady            |   0.007572 |      0.76%
   8 | knight          |   0.007024 |      0.70%
   9 | my              |   0.006928 |      0.69%
  10 | village         |   0.006019 |      0.60%
  11 | madam           |   0.005883 |      0.59%
  12 | enter           |   0.005777 |      0.58%
  13 | she             |   0.005546 |      0.55%
  14 | ladies          |   0.005003 |      0.50%
  15 | left            |   0.004877 |      0.49%
  16 | ile             |   0.004594 |      0.46%
  17 | right           |   0.004462 |      0.45%
  18 | leave           |   0.004072 |      0.41%
  19 | chap            |   0.004033 |      0.40%
  20 | coach           |   0.003926 |      0.39%

######## Topic 13 ########
Documents: 6 (0.81%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | myles           |   0.098750 |      9.88%
   2 | item            |   0.067844 |      6.78%
   3 | vij             |   0.035954 |      3.60%
   4 | yeres           |   0.020949 |      2.09%
   5 | ye              |   0.020147 |      2.01%
   6 | tyme            |   0.014606 |      1.46%
   7 | yere            |   0.014192 |      1.42%
   8 | worlde          |   0.014116 |      1.41%
   9 | summe           |   0.010682 |      1.07%
  10 | enquire         |   0.010322 |      1.03%
  11 | saynt           |   0.009576 |      0.96%
  12 | haue            |   0.009461 |      0.95%
  13 | iiii            |   0.009083 |      0.91%
  14 | iupiter         |   0.008589 |      0.86%
  15 | aboute          |   0.008414 |      0.84%
