
############################################################
#              TABLE 1: DOC COUNT PER TOPIC             #
############################################################

     Topic  |       Count  |     Percent
----------------------------------------
   1 | have            |   0.013526 |      1.35%
   2 | you             |   0.007117 |      0.71%
   3 | me              |   0.006634 |      0.66%
   4 | my              |   0.006382 |      0.64%
   5 | than            |   0.006273 |      0.63%
   6 | never           |   0.005958 |      0.60%
   7 | love            |   0.005628 |      0.56%
   8 | she             |   0.004999 |      0.50%
   9 | upon            |   0.004913 |      0.49%
  10 | her             |   0.004569 |      0.46%
  11 | up              |   0.003912 |      0.39%
  12 | self            |   0.003841 |      0.38%
  13 | us              |   0.003822 |      0.38%
  14 | ever            |   0.003800 |      0.38%
  15 | tis             |   0.003524 |      0.35%
  16 | give            |   0.003435 |      0.34%
  17 | your            |   0.003313 |      0.33%
  18 | poor            |   0.003297 |      0.33%
  19 | he              |   0.002949 |      0.29%
  20 | own             |   0.002714 |      0.27%

######## Topic 6 ########
Documents: 19 (2.57%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | island          |   0.006293 |      0.63%
   2 | chineses        |   0.006124 |      0.61%
   3 | four            |   0.005643 |      0.56%
   4 | tartars         |   0.005642 |      0.56%
   5 | altar           |   0.004961 |      0.50%
   6 | palace          |   0.004926 |      0.49%
   7 | china           |   0.004844 |      0.48%
   8 | city            |   0.004487 |      0.45%
   9 | upon            |   0.004483 |      0.45%
  10 | picture         |   0.004397 |      0.44%
  11 | chinese         |   0.004148 |      0.41%
  12 | have            |   0.004079 |      0.41%
  13 | church          |   0.003941 |      0.39%
  14 | having          |   0.003694 |      0.37%
  15 | miles           |   0.003616 |      0.36%
  16 | over            |   0.003575 |      0.36%
  17 | near            |   0.003530 |      0.35%
  18 | piece           |   0.003398 |      0.34%
  19 | river           |   0.003292 |      0.33%
  20 | virgin          |   0.003255 |      0.33%

######## Topic 7 ########
Documents: 9 (1.22%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | item            |   0.032647 |      3.26%
   2 | wales           |   0.023138 |      2.31%
   3 | proclamation    |   0.013597 |      1.36%
   4 | parliament      |   0.012427 |      1.24%
   5 | sovereign       |   0.012280 |      1.23%
   6 | mariners        |   0.012094 |      1.21%
   7 | aforesaid       |   0.011663 |      1.17%
   8 | shall           |   0.010799 |      1.08%
   9 | 2013            |   0.009673 |      0.97%
  10 | ye              |   0.008779 |      0.88%
  11 | commons         |   0.008614 |      0.86%
  12 | kingdome        |   0.008471 |      0.85%
  13 | seruice         |   0.008097 |      0.81%
  14 | britain         |   0.007994 |      0.80%
  15 | 2014            |   0.007584 |      0.76%
  16 | declaration     |   0.007389 |      0.74%
  17 | hereby          |   0.007206 |      0.72%
  18 | shippes         |   0.007080 |      0.71%
  19 | enquire         |   0.007074 |      0.71%
  20 | licence         |   0.007006 |      0.70%

######## Topic 8 ########
Documents: 6 (0.81%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | iland           |   0.031393 |      3.14%
   2 | haue            |   0.018610 |      1.86%
   3 | ilands          |   0.012513 |      1.25%
   4 | verie           |   0.009024 |      0.90%
   5 | captaine        |   0.008613 |      0.86%
   6 | standeth        |   0.007407 |      0.74%
   7 | vnto            |   0.006926 |      0.69%
   8 | prouinces       |   0.006145 |      0.61%
   9 | foure           |   0.006133 |      0.61%
  10 | thrée           |   0.006108 |      0.61%
  11 | themselues      |   0.006078 |      0.61%
  12 | bee             |   0.005786 |      0.58%
  13 | companie        |   0.005722 |      0.57%
  14 | leagues         |   0.005585 |      0.56%
  15 | shippe          |   0.004676 |      0.47%
  16 | countrie        |   0.004614 |      0.46%
  17 | east            |   0.004163 |      0.42%
  18 | towne           |   0.004138 |      0.41%
  19 | ilandes         |   0.003994 |      0.40%
  20 | ilande          |   0.003889 |      0.39%

######## Topic 9 ########
Documents: 20 (2.71%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | my              |   0.012313 |      1.23%
   2 | vvhich          |   0.010982 |      1.10%
   3 | your            |   0.010759 |      1.08%
   4 | vvith           |   0.009710 |      0.97%
   5 | captaine        |   0.009451 |      0.95%
   6 | maiesty         |   0.009153 |      0.92%
   7 | virginia        |   0.009101 |      0.91%
   8 | haue            |   0.007177 |      0.72%
   9 | loue            |   0.007142 |      0.71%
  10 | royall          |   0.007127 |      0.71%
  11 | beene           |   0.006898 |      0.69%
  12 | selfe           |   0.006560 |      0.66%
  13 | doe             |   0.006163 |      0.62%
  14 | hee             |   0.005914 |      0.59%
  15 | feare           |   0.005460 |      0.55%
  16 | message         |   0.005299 |      0.53%
  17 | vs              |   0.004856 |      0.49%
  18 | mee             |   0.004722 |      0.47%
  19 | you             |   0.004694 |      0.47%
  20 | newes           |   0.004584 |      0.46%

######## Topic 10 ########
Documents: 26 (3.52%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | vpon            |   0.017856 |      1.79%
   2 | riuer           |   0.012884 |      1.29%
   3 | towne           |   0.012254 |      1.23%
   4 | hauing          |   0.010171 |      1.02%
   5 | hee             |   0.009892 |      0.99%
   6 | prouince        |   0.008673 |      0.87%
   7 | citie           |   0.008275 |      0.83%
   8 | vnto            |   0.007691 |      0.77%
   9 | fiue            |   0.007685 |      0.77%
  10 | haue            |   0.007023 |      0.70%
  11 | sonne           |   0.006725 |      0.67%
  12 | ouer            |   0.006557 |      0.66%
  13 | gaue            |   0.006241 |      0.62%
  14 | vp              |   0.006204 |      0.62%
  15 | gallies         |   0.005805 |      0.58%
  16 | themselues      |   0.005537 |      0.55%
  17 | towardes        |   0.005240 |      0.52%
  18 | vnder           |   0.004855 |      0.49%
  19 | giuen           |   0.004754 |      0.48%
  20 | vppon           |   0.004598 |      0.46%

######## Topic 11 ########
Documents: 3 (0.41%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | john            |   0.041381 |      4.14%
   2 | richard         |   0.026446 |      2.64%
   3 | robert          |   0.025236 |      2.52%
   4 | 70              |   0.019033 |      1.90%
   5 | esq             |   0.018728 |      1.87%
   6 | 72              |   0.018173 |      1.82%
   7 | james           |   0.018109 |      1.81%
   8 | dr              |   0.016918 |      1.69%
   9 | thomas          |   0.014979 |      1.50%
  10 | 80              |   0.014450 |      1.44%
  11 | 90              |   0.013895 |      1.39%
  12 | 64              |   0.013501 |      1.35%
  13 | william         |   0.012153 |      1.22%
  14 | 52              |   0.012081 |      1.21%
  15 | edward          |   0.011821 |      1.18%
  16 | admiral         |   0.011262 |      1.13%
  17 | dutch           |   0.011148 |      1.11%
  18 | capt            |   0.011133 |      1.11%
  19 | 100             |   0.010638 |      1.06%
  20 | board           |   0.010541 |      1.05%

######## Topic 12 ########
Documents: 23 (3.11%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | vs              |   0.026878 |      2.69%
   2 | shippes         |   0.013519 |      1.35%
   3 | vnto            |   0.013484 |      1.35%
   4 | haue            |   0.013301 |      1.33%
   5 | wee             |   0.009395 |      0.94%
   6 | yeare           |   0.008929 |      0.89%
   7 | shippe          |   0.007675 |      0.77%
   8 | foure           |   0.006408 |      0.64%
   9 | tooke           |   0.006019 |      0.60%
  10 | generall        |   0.005803 |      0.58%
  11 | boates          |   0.005505 |      0.55%
  12 | winde           |   0.005461 |      0.55%
  13 | admirall        |   0.005341 |      0.53%
  14 | vpon            |   0.005325 |      0.53%
  15 | we              |   0.005235 |      0.52%
  16 | certaine        |   0.005148 |      0.51%
  17 | bantam          |   0.004971 |      0.50%
  18 | towne           |   0.004961 |      0.50%
  19 | countrie        |   0.004889 |      0.49%
  20 | riuer           |   0.004773 |      0.48%

######## Topic 13 ########
Documents: 34 (4.60%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | have            |   0.015856 |      1.59%
   2 | trade           |   0.009662 |      0.97%
   3 | scots           |   0.007963 |      0.80%
   4 | spain           |   0.007645 |      0.76%
   5 | india           |   0.006910 |      0.69%
   6 | darien          |   0.006250 |      0.62%
   7 | upon            |   0.005661 |      0.57%
   8 | spaniards       |   0.005378 |      0.54%
   9 | scotland        |   0.005199 |      0.52%
  10 | year            |   0.005002 |      0.50%
  11 | navigation      |   0.004953 |      0.50%
  12 | dutch           |   0.004948 |      0.49%
  13 | than            |   0.004631 |      0.46%
  14 | majesty         |   0.004564 |      0.46%
  15 | jews            |   0.004500 |      0.45%
  16 | river           |   0.003873 |      0.39%
  17 | us              |   0.003721 |      0.37%
  18 | colony          |   0.003674 |      0.37%
  19 | navigable       |   0.003559 |      0.36%
  20 | east            |   0.003531 |      0.35%

######## Topic 14 ########
Documents: 15 (2.03%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | deg             |   0.014992 |      1.50%
   2 | degr            |   0.013748 |      1.37%
   3 | min             |   0.010566 |      1.06%
   4 | meridian        |   0.009089 |      0.91%
   5 | latitude        |   0.008979 |      0.90%
   6 | haue            |   0.007221 |      0.72%
   7 | angle           |   0.005741 |      0.57%
   8 | horizon         |   0.005732 |      0.57%
   9 | line            |   0.005612 |      0.56%
  10 | sine            |   0.005381 |      0.54%
  11 | sunne           |   0.005119 |      0.51%
  12 | iune            |   0.005085 |      0.51%
  13 | houre           |   0.004925 |      0.49%
  14 | noone           |   0.004822 |      0.48%
  15 | finde           |   0.004671 |      0.47%
  16 | degrees         |   0.004637 |      0.46%
  17 | beene           |   0.004599 |      0.46%
  18 | vp              |   0.004599 |      0.46%
  19 | againe          |   0.004541 |      0.45%
  20 | longitude       |   0.004539 |      0.45%

######## Topic 15 ########
Documents: 31 (4.19%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | majesty         |   0.013882 |      1.39%
   2 | upon            |   0.008716 |      0.87%
   3 | stock           |   0.008641 |      0.86%
   4 | have            |   0.008328 |      0.83%
   5 | majesties       |   0.007641 |      0.76%
   6 | turks           |   0.006866 |      0.69%
   7 | council         |   0.006689 |      0.67%
   8 | several         |   0.006079 |      0.61%
   9 | act             |   0.005866 |      0.59%
  10 | company         |   0.005770 |      0.58%
  11 | camp            |   0.005723 |      0.57%
  12 | buda            |   0.005618 |      0.56%
  13 | general         |   0.005263 |      0.53%
  14 | india           |   0.005119 |      0.51%
  15 | hungary         |   0.004047 |      0.40%
  16 | parliament      |   0.003970 |      0.40%
  17 | your            |   0.003795 |      0.38%
  18 | governour       |   0.003670 |      0.37%
  19 | trade           |   0.003670 |      0.37%
  20 | bassa           |   0.003503 |      0.35%

######## Topic 16 ########
Documents: 12 (1.62%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | 00              |   0.037614 |      3.76%
   2 | yeere           |   0.018456 |      1.85%
   3 | citie           |   0.016235 |      1.62%
   4 | summe           |   0.009873 |      0.99%
   5 | yeeres          |   0.007911 |      0.79%
   6 | yeare           |   0.007274 |      0.73%
   7 | raigne          |   0.006939 |      0.69%
   8 | pence           |   0.006208 |      0.62%
   9 | neere           |   0.005449 |      0.54%
  10 | shillings       |   0.005360 |      0.54%
  11 | builded         |   0.005040 |      0.50%
  12 | saint           |   0.005019 |      0.50%
  13 | chappell        |   0.004984 |      0.50%
  14 | chiefe          |   0.004764 |      0.48%
  15 | iewes           |   0.004747 |      0.47%
  16 | miles           |   0.004611 |      0.46%
  17 | dauid           |   0.004392 |      0.44%
  18 | ouer            |   0.004222 |      0.42%
  19 | vvas            |   0.003880 |      0.39%
  20 | severall        |   0.003749 |      0.37%

######## Topic 17 ########
Documents: 20 (2.71%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | irish           |   0.018944 |      1.89%
   2 | dublin          |   0.017963 |      1.80%
   3 | ireland         |   0.014621 |      1.46%
   4 | monsieur        |   0.014502 |      1.45%
   5 | protestants     |   0.012533 |      1.25%
   6 | duke            |   0.011816 |      1.18%
   7 | rebels          |   0.010224 |      1.02%
   8 | french          |   0.009947 |      0.99%
   9 | army            |   0.009121 |      0.91%
  10 | james           |   0.008370 |      0.84%
  11 | regiments       |   0.008205 |      0.82%
  12 | les             |   0.007409 |      0.74%
  13 | regiment        |   0.007363 |      0.74%
  14 | forces          |   0.007331 |      0.73%
  15 | major           |   0.006891 |      0.69%
  16 | ammunition      |   0.006648 |      0.66%
  17 | arrived         |   0.006633 |      0.66%
  18 | general         |   0.006465 |      0.65%
  19 | fleet           |   0.006149 |      0.61%
  20 | de              |   0.005970 |      0.60%

######## Topic 18 ########
Documents: 16 (2.17%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | acres           |   0.010901 |      1.09%
   2 | province        |   0.009031 |      0.90%
   3 | indians         |   0.007967 |      0.80%
   4 | several         |   0.005732 |      0.57%
   5 | up              |   0.005305 |      0.53%
   6 | sail            |   0.005107 |      0.51%
   7 | have            |   0.004985 |      0.50%
   8 | america         |   0.004911 |      0.49%
   9 | upon            |   0.004911 |      0.49%
  10 | us              |   0.004823 |      0.48%
  11 | voyage          |   0.004504 |      0.45%
  12 | wind            |   0.004345 |      0.43%
  13 | themselves      |   0.004289 |      0.43%
  14 | governour       |   0.004196 |      0.42%
  15 | vessel          |   0.003800 |      0.38%
  16 | corn            |   0.003762 |      0.38%
  17 | having          |   0.003754 |      0.38%
  18 | plantation      |   0.003667 |      0.37%
  19 | colony          |   0.003541 |      0.35%
  20 | land            |   0.003314 |      0.33%

######## Topic 19 ########
Documents: 15 (2.03%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | haue            |   0.030289 |      3.03%
   2 | euery           |   0.009649 |      0.96%
   3 | bee             |   0.009392 |      0.94%
   4 | bohemia         |   0.008287 |      0.83%
   5 | vnto            |   0.008209 |      0.82%
   6 | doe             |   0.007920 |      0.79%
   7 | themselues      |   0.007531 |      0.75%
   8 | beene           |   0.007224 |      0.72%
   9 | giue            |   0.007190 |      0.72%
  10 | euer            |   0.006729 |      0.67%
  11 | vpon            |   0.006712 |      0.67%
  12 | onely           |   0.006442 |      0.64%
  13 | gouernment      |   0.006394 |      0.64%
  14 | vs              |   0.005766 |      0.58%
  15 | owne            |   0.005731 |      0.57%
  16 | seuerall        |   0.005608 |      0.56%
  17 | meanes          |   0.005592 |      0.56%
  18 | neuer           |   0.004875 |      0.49%
  19 | aboue           |   0.004813 |      0.48%
  20 | vp              |   0.004691 |      0.47%

######## Topic 20 ########
Documents: 35 (4.74%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | us              |   0.009264 |      0.93%
   2 | she             |   0.008869 |      0.89%
   3 | her             |   0.008170 |      0.82%
   4 | christ          |   0.007642 |      0.76%
   5 | him             |   0.006127 |      0.61%
   6 | he              |   0.005673 |      0.57%
   7 | jesus           |   0.005612 |      0.56%
   8 | we              |   0.005440 |      0.54%
   9 | having          |   0.005417 |      0.54%
  10 | my              |   0.005289 |      0.53%
  11 | himself         |   0.004739 |      0.47%
  12 | unto            |   0.004728 |      0.47%
  13 | love            |   0.004600 |      0.46%
  14 | self            |   0.004326 |      0.43%
  15 | was             |   0.004205 |      0.42%
  16 | god             |   0.004198 |      0.42%
  17 | have            |   0.004154 |      0.42%
  18 | empress         |   0.003894 |      0.39%
  19 | took            |   0.003818 |      0.38%
  20 | up              |   0.003376 |      0.34%

######## Topic 21 ########
Documents: 16 (2.17%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | hym             |   0.048027 |      4.80%
   2 | grete           |   0.032491 |      3.25%
   3 | kynge           |   0.027613 |      2.76%
   4 | londe           |   0.027236 |      2.72%
   5 | whan            |   0.022619 |      2.26%
   6 | myght           |   0.015494 |      1.55%
   7 | syr             |   0.014274 |      1.43%
   8 | theyr           |   0.014156 |      1.42%
   9 | moche           |   0.013061 |      1.31%
  10 | wolde           |   0.012682 |      1.27%
  11 | dyde            |   0.012574 |      1.26%
  12 | sholde          |   0.012392 |      1.24%
  13 | cyte            |   0.012360 |      1.24%
  14 | wyll            |   0.012254 |      1.23%
  15 | knyght          |   0.012078 |      1.21%
  16 | saynt           |   0.011166 |      1.12%
  17 | sayd            |   0.010938 |      1.09%
  18 | wente           |   0.009860 |      0.99%
  19 | crysten         |   0.009824 |      0.98%
  20 | ryght           |   0.009718 |      0.97%

######## Topic 22 ########
Documents: 17 (2.30%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | count           |   0.010413 |      1.04%
   2 | enemy           |   0.008677 |      0.87%
   3 | ordinance       |   0.007882 |      0.79%
   4 | armie           |   0.007454 |      0.75%
   5 | horse           |   0.006959 |      0.70%
   6 | forces          |   0.006652 |      0.67%
   7 | souldiers       |   0.005681 |      0.57%
