
############################################################
#              TABLE 1: DOC COUNT PER TOPIC             #
############################################################

     Topic  |       Count  |     Percent
----------------------------------------
  13 | themselues      |   0.004562 |      0.46%
  14 | hee             |   0.004234 |      0.42%
  15 | giue            |   0.004095 |      0.41%
  16 | selfe           |   0.004075 |      0.41%
  17 | plantation      |   0.003930 |      0.39%
  18 | vse             |   0.003925 |      0.39%
  19 | vpon            |   0.003761 |      0.38%
  20 | vvhich          |   0.003750 |      0.38%

######## Topic 6 ########
Documents: 57 (7.71%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | have            |   0.007743 |      0.77%
   2 | you             |   0.007507 |      0.75%
   3 | love            |   0.005797 |      0.58%
   4 | your            |   0.005576 |      0.56%
   5 | my              |   0.005273 |      0.53%
   6 | christ          |   0.004884 |      0.49%
   7 | unto            |   0.004826 |      0.48%
   8 | her             |   0.004786 |      0.48%
   9 | us              |   0.004760 |      0.48%
  10 | me              |   0.004283 |      0.43%
  11 | she             |   0.003964 |      0.40%
  12 | up              |   0.003958 |      0.40%
  13 | jesus           |   0.003569 |      0.36%
  14 | never           |   0.003412 |      0.34%
  15 | thy             |   0.003347 |      0.33%
  16 | god             |   0.002954 |      0.30%
  17 | tis             |   0.002864 |      0.29%
  18 | heaven          |   0.002856 |      0.29%
  19 | thee            |   0.002636 |      0.26%
  20 | every           |   0.002605 |      0.26%

######## Topic 7 ########
Documents: 8 (1.08%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | bridg           |   0.017176 |      1.72%
   2 | 15              |   0.015788 |      1.58%
   3 | 18              |   0.015776 |      1.58%
   4 | 52              |   0.015741 |      1.57%
   5 | furlongs        |   0.015244 |      1.52%
   6 | 17              |   0.015011 |      1.50%
   7 | 13              |   0.014926 |      1.49%
   8 | 16              |   0.014740 |      1.47%
   9 | 19              |   0.014467 |      1.45%
  10 | 51              |   0.014180 |      1.42%
  11 | 14              |   0.013576 |      1.36%
  12 | 20              |   0.013196 |      1.32%
  13 | 22              |   0.013120 |      1.31%
  14 | 53              |   0.012375 |      1.24%
  15 | 21              |   0.012146 |      1.21%
  16 | 23              |   0.011916 |      1.19%
  17 | fairs           |   0.010511 |      1.05%
  18 | 24              |   0.010493 |      1.05%
  19 | 28              |   0.009726 |      0.97%
  20 | 54              |   0.009670 |      0.97%

######## Topic 8 ########
Documents: 92 (12.45%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | city            |   0.005757 |      0.58%
   2 | town            |   0.003609 |      0.36%
   3 | upon            |   0.003407 |      0.34%
   4 | river           |   0.003218 |      0.32%
   5 | several         |   0.003128 |      0.31%
   6 | four            |   0.003103 |      0.31%
   7 | its             |   0.003098 |      0.31%
   8 | church          |   0.003077 |      0.31%
   9 | province        |   0.002966 |      0.30%
  10 | have            |   0.002896 |      0.29%
  11 | st              |   0.002831 |      0.28%
  12 | year            |   0.002825 |      0.28%
  13 | up              |   0.002669 |      0.27%
  14 | chap            |   0.002668 |      0.27%
  15 | over            |   0.002627 |      0.26%
  16 | chief           |   0.002599 |      0.26%
  17 | built           |   0.002466 |      0.25%
  18 | five            |   0.002367 |      0.24%
  19 | provinces       |   0.002227 |      0.22%
  20 | stands          |   0.002119 |      0.21%

######## Topic 9 ########
Documents: 84 (11.37%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | have            |   0.010962 |      1.10%
   2 | upon            |   0.006226 |      0.62%
   3 | us              |   0.004693 |      0.47%
   4 | than            |   0.004112 |      0.41%
   5 | having          |   0.003982 |      0.40%
   6 | himself         |   0.003914 |      0.39%
   7 | he              |   0.003807 |      0.38%
   8 | her             |   0.003713 |      0.37%
   9 | she             |   0.003622 |      0.36%
  10 | was             |   0.003577 |      0.36%
  11 | him             |   0.003398 |      0.34%
  12 | mr              |   0.003341 |      0.33%
  13 | themselves      |   0.003300 |      0.33%
  14 | had             |   0.003258 |      0.33%
  15 | never           |   0.002932 |      0.29%
  16 | self            |   0.002883 |      0.29%
  17 | several         |   0.002832 |      0.28%
  18 | only            |   0.002652 |      0.27%
  19 | my              |   0.002570 |      0.26%
  20 | would           |   0.002560 |      0.26%

######## Topic 10 ########
Documents: 28 (3.79%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | haue            |   0.008256 |      0.83%
   2 | my              |   0.008228 |      0.82%
   3 | heauen          |   0.006787 |      0.68%
   4 | downe           |   0.006706 |      0.67%
   5 | thy             |   0.006632 |      0.66%
   6 | loue            |   0.005575 |      0.56%
   7 | her             |   0.005250 |      0.53%
   8 | thee            |   0.005011 |      0.50%
   9 | vpon            |   0.004908 |      0.49%
  10 | shee            |   0.004903 |      0.49%
  11 | me              |   0.004871 |      0.49%
  12 | thou            |   0.004801 |      0.48%
  13 | christ          |   0.004617 |      0.46%
  14 | selfe           |   0.004500 |      0.45%
  15 | looke           |   0.004367 |      0.44%
  16 | poore           |   0.004361 |      0.44%
  17 | vs              |   0.004158 |      0.42%
  18 | your            |   0.003929 |      0.39%
  19 | ile             |   0.003842 |      0.38%
  20 | vp              |   0.003802 |      0.38%

######## Topic 11 ########
Documents: 50 (6.77%)  |  Average row value: 0.000200
