
############################################################
#              TABLE 1: DOC COUNT PER TOPIC             #
############################################################

     Topic  |       Count  |     Percent
----------------------------------------
######## Topic 6 ########
Documents: 31 (4.19%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | my              |   0.008769 |      0.88%
   2 | your            |   0.007953 |      0.80%
   3 | you             |   0.007264 |      0.73%
   4 | thy             |   0.006729 |      0.67%
   5 | haue            |   0.006714 |      0.67%
   6 | her             |   0.005621 |      0.56%
   7 | christ          |   0.005315 |      0.53%
   8 | me              |   0.005189 |      0.52%
   9 | thee            |   0.004748 |      0.47%
  10 | thou            |   0.004404 |      0.44%
  11 | selfe           |   0.003298 |      0.33%
  12 | god             |   0.003197 |      0.32%
  13 | loue            |   0.003186 |      0.32%
  14 | he              |   0.003169 |      0.32%
  15 | him             |   0.002726 |      0.27%
  16 | onely           |   0.002474 |      0.25%
  17 | quoth           |   0.002414 |      0.24%
  18 | lord            |   0.002319 |      0.23%
  19 | poore           |   0.002232 |      0.22%
  20 | life            |   0.002169 |      0.22%

######## Topic 7 ########
Documents: 36 (4.87%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | hym             |   0.028075 |      2.81%
   2 | theyr           |   0.018694 |      1.87%
   3 | whiche          |   0.015129 |      1.51%
   4 | grete           |   0.013736 |      1.37%
   5 | kynge           |   0.013439 |      1.34%
   6 | whan            |   0.013221 |      1.32%
   7 | myles           |   0.012488 |      1.25%
   8 | londe           |   0.011532 |      1.15%
   9 | tyme            |   0.010525 |      1.05%
  10 | wyll            |   0.010370 |      1.04%
  11 | wyth            |   0.009605 |      0.96%
  12 | haue            |   0.009540 |      0.95%
  13 | saynt           |   0.008351 |      0.84%
  14 | myght           |   0.008146 |      0.81%
  15 | yere            |   0.008097 |      0.81%
  16 | lorde           |   0.007969 |      0.80%
  17 | ye              |   0.007495 |      0.75%
  18 | yf              |   0.007464 |      0.75%
  19 | syr             |   0.007318 |      0.73%
  20 | wolde           |   0.007236 |      0.72%

######## Topic 8 ########
Documents: 15 (2.03%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | north           |   0.006551 |      0.66%
   2 | south           |   0.005674 |      0.57%
   3 | east            |   0.005466 |      0.55%
   4 | island          |   0.005033 |      0.50%
   5 | west            |   0.004671 |      0.47%
   6 | chap            |   0.004283 |      0.43%
   7 | iohn            |   0.004020 |      0.40%
   8 | have            |   0.003764 |      0.38%
   9 | son             |   0.003622 |      0.36%
  10 | called          |   0.003608 |      0.36%
  11 | petition        |   0.003036 |      0.30%
  12 | islands         |   0.003029 |      0.30%
  13 | india           |   0.003021 |      0.30%
  14 | saint           |   0.002895 |      0.29%
  15 | sea             |   0.002891 |      0.29%
  16 | shire           |   0.002857 |      0.29%
  17 | de              |   0.002712 |      0.27%
  18 | lyeth           |   0.002621 |      0.26%
  19 | waters          |   0.002613 |      0.26%
  20 | francis         |   0.002592 |      0.26%

######## Topic 9 ########
Documents: 55 (7.44%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | 00              |   0.010002 |      1.00%
   2 | dublin          |   0.009388 |      0.94%
   3 | irish           |   0.007799 |      0.78%
   4 | county          |   0.007742 |      0.77%
   5 | town            |   0.007499 |      0.75%
   6 | river           |   0.007118 |      0.71%
   7 | ireland         |   0.006990 |      0.70%
   8 | mr              |   0.005875 |      0.59%
   9 | john            |   0.005499 |      0.55%
  10 | james           |   0.005435 |      0.54%
  11 | earl            |   0.004892 |      0.49%
  12 | deg             |   0.004590 |      0.46%
  13 | duke            |   0.004427 |      0.44%
  14 | william         |   0.004218 |      0.42%
  15 | have            |   0.004165 |      0.42%
  16 | rebels          |   0.004100 |      0.41%
  17 | sir             |   0.004023 |      0.40%
  18 | protestants     |   0.003969 |      0.40%
  19 | 15              |   0.003909 |      0.39%
  20 | general         |   0.003898 |      0.39%


############################################################
# TABLE 3: TOP 5 DOCS PER TOPIC & THEIR TOPIC'S BEST WORDS #
############################################################

######## Topic 0 ########
Documents: 27 (3.65%)
Rank |    DocID | Filename                                                     |   Length |       P_dz
------------------------------------------------------------------------------------------------------
   1 |      396 | Navigations_headed_xml/Parsed_texts/A34277_parsed_text.txt   |     6701 |   0.966187
   2 |       57 | Navigations_headed_xml/Parsed_texts/A33452_parsed_text.txt   |    10743 |   0.901257
   3 |      538 | Navigations_headed_xml/Parsed_texts/A55157_parsed_text.txt   |     4958 |   0.787412
   4 |      625 | Navigations_headed_xml/Parsed_texts/A41906_parsed_text.txt   |    14001 |   0.697707
   5 |      379 | Navigations_headed_xml/Parsed_texts/A56484_parsed_text.txt   |     7877 |   0.692968

Rank | Word            |      Value
-----------------------------------
   1 | unto            |   0.004942
   2 | vienna          |   0.004830
   3 | emperor         |   0.003387
   4 | hungary         |   0.003291
   5 | ut              |   0.003191

######## Topic 1 ########
Documents: 190 (25.71%)
