######## Topic 0 ########
Average row value: 0.000010
Rank | Word            |      Value | Pct of Row
  47 | thus            |   0.001056 |      0.11%
  48 | till            |   0.001053 |      0.11%
  49 | without         |   0.001023 |      0.10%
  50 | now             |   0.001012 |      0.10%

Excluded Words:
them, him, not, god, is, on, had, or, but, as


######## Topic 3 ########
Average row value: 0.000010
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | sea             |   0.004885 |      0.49%
   2 | about           |   0.004560 |      0.46%
   3 | land            |   0.004448 |      0.44%
   4 | water           |   0.003546 |      0.35%
   5 | very            |   0.003406 |      0.34%
   6 | island          |   0.003219 |      0.32%
   7 | west            |   0.003025 |      0.30%
   8 | ships           |   0.003021 |      0.30%
   9 | south           |   0.002759 |      0.28%
  10 | ship            |   0.002754 |      0.28%
  11 | north           |   0.002750 |      0.28%
  12 | river           |   0.002516 |      0.25%
  13 | east            |   0.002501 |      0.25%
  14 | leagues         |   0.002416 |      0.24%
  15 | small           |   0.002307 |      0.23%
  16 | here            |   0.002221 |      0.22%
  17 | fish            |   0.002132 |      0.21%
  18 | indians         |   0.002096 |      0.21%
  19 | found           |   0.002088 |      0.21%
  20 | long            |   0.002023 |      0.20%
  21 | yet             |   0.001839 |      0.18%
  22 | wind            |   0.001773 |      0.18%
  23 | spaniards       |   0.001752 |      0.18%
  24 | coast           |   0.001704 |      0.17%
  25 | new             |   0.001656 |      0.17%
  26 | side            |   0.001648 |      0.16%
  27 | trees           |   0.001611 |      0.16%
  28 | islands         |   0.001593 |      0.16%
  29 | bay             |   0.001588 |      0.16%
  30 | shore           |   0.001585 |      0.16%
  31 | could           |   0.001557 |      0.16%
  32 | up              |   0.001478 |      0.15%
  33 | off             |   0.001478 |      0.15%
  34 | night           |   0.001456 |      0.15%
  35 | went            |   0.001434 |      0.14%
  36 | cape            |   0.001427 |      0.14%
  37 | high            |   0.001381 |      0.14%
  38 | captain         |   0.001311 |      0.13%
  39 | little          |   0.001284 |      0.13%
  40 | trade           |   0.001280 |      0.13%
  41 | town            |   0.001268 |      0.13%
  42 | part            |   0.001239 |      0.12%
  43 | countrey        |   0.001238 |      0.12%
  44 | ground          |   0.001238 |      0.12%
  45 | saw             |   0.001191 |      0.12%
  46 | see             |   0.001151 |      0.12%
  47 | miles           |   0.001140 |      0.11%
  48 | gold            |   0.001139 |      0.11%
  49 | place           |   0.001131 |      0.11%
  50 | full            |   0.001126 |      0.11%

Excluded Words:
them, on, from, but, or, is, are, as, we, there


######## Topic 4 ########
Average row value: 0.000010
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | edward          |   0.003519 |      0.35%
   2 | london          |   0.003479 |      0.35%
   3 | year            |   0.003333 |      0.33%
   4 | upon            |   0.003313 |      0.33%
   5 | william         |   0.003096 |      0.31%
   6 | unto            |   0.002618 |      0.26%
   7 | house           |   0.002200 |      0.22%
   8 | richard         |   0.002107 |      0.21%
   9 | third           |   0.002054 |      0.21%
  10 | st              |   0.002042 |      0.20%
  11 | name            |   0.002010 |      0.20%
  12 | family          |   0.001927 |      0.19%
  13 | parish          |   0.001843 |      0.18%
  14 | second          |   0.001758 |      0.18%
  15 | street          |   0.001667 |      0.17%
  16 | over            |   0.001639 |      0.16%
  17 | lane            |   0.001586 |      0.16%
  18 | robert          |   0.001499 |      0.15%
  19 | earl            |   0.001417 |      0.14%
  20 | ward            |   0.001385 |      0.14%
  21 | gave            |   0.001366 |      0.14%
  22 | under           |   0.001359 |      0.14%
  23 | whose           |   0.001358 |      0.14%
  24 | castle          |   0.001338 |      0.13%
  25 | old             |   0.001282 |      0.13%
  26 | court           |   0.001273 |      0.13%
  27 | knight          |   0.001210 |      0.12%
  28 | city            |   0.001188 |      0.12%
  29 | kings           |   0.001142 |      0.11%
  30 | maior           |   0.001124 |      0.11%
  31 | daughter        |   0.001100 |      0.11%
  32 | end             |   0.001079 |      0.11%
  33 | esquire         |   0.001078 |      0.11%
  34 | since           |   0.001075 |      0.11%
  35 | kent            |   0.001055 |      0.11%
  36 | saint           |   0.001052 |      0.11%
  37 | within          |   0.001032 |      0.10%
  38 | hall            |   0.001017 |      0.10%
  39 | right           |   0.000994 |      0.10%
  40 | sixth           |   0.000973 |      0.10%
  41 | ancient         |   0.000966 |      0.10%
  42 | both            |   0.000964 |      0.10%
  43 | fourth          |   0.000943 |      0.09%
  44 | towards         |   0.000936 |      0.09%
  45 | iohn            |   0.000928 |      0.09%
  46 | late            |   0.000922 |      0.09%
  47 | she             |   0.000911 |      0.09%
  48 | eighth          |   0.000907 |      0.09%
  49 | every           |   0.000907 |      0.09%
  50 | canterbury      |   0.000896 |      0.09%

Excluded Words:
is, as, king, from, who, henry, sir, or, there, church


######## Topic 5 ########
Average row value: 0.000010
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | its             |   0.002868 |      0.29%
   2 | you             |   0.001963 |      0.20%
   3 | has             |   0.001826 |      0.18%
   4 | well            |   0.001823 |      0.18%
   5 | been            |   0.001571 |      0.16%
   6 | four            |   0.001523 |      0.15%
   7 | only            |   0.001487 |      0.15%
   8 | built           |   0.001475 |      0.15%
   9 | large           |   0.001354 |      0.14%
  10 | several         |   0.001322 |      0.13%
  11 | chief           |   0.001203 |      0.12%
  12 | country         |   0.001049 |      0.10%
  13 | near            |   0.001043 |      0.10%
  14 | can             |   0.000972 |      0.10%
