######## Topic 0 ########
Average row value: 0.000010
Rank | Word            |      Value | Pct of Row
  15 | parts           |   0.000970 |      0.10%
  16 | famous          |   0.000959 |      0.10%
  17 | do              |   0.000954 |      0.10%
  18 | houses          |   0.000934 |      0.09%
  19 | tis             |   0.000932 |      0.09%
  20 | number          |   0.000917 |      0.09%
  21 | rome            |   0.000916 |      0.09%
  22 | work            |   0.000916 |      0.09%
  23 | places          |   0.000910 |      0.09%
  24 | make            |   0.000904 |      0.09%
  25 | whole           |   0.000893 |      0.09%
  26 | besides         |   0.000886 |      0.09%
  27 | hand            |   0.000880 |      0.09%
  28 | towns           |   0.000851 |      0.09%
  29 | foot            |   0.000837 |      0.08%
  30 | seen            |   0.000832 |      0.08%
  31 | fair            |   0.000823 |      0.08%
  32 | above           |   0.000803 |      0.08%
  33 | stands          |   0.000802 |      0.08%
  34 | self            |   0.000797 |      0.08%
  35 | stone           |   0.000782 |      0.08%
  36 | having          |   0.000781 |      0.08%
  37 | present         |   0.000770 |      0.08%
  38 | rich            |   0.000736 |      0.07%
  39 | must            |   0.000736 |      0.07%
  40 | churches        |   0.000732 |      0.07%
  41 | almost          |   0.000731 |      0.07%
  42 | among           |   0.000730 |      0.07%
  43 | best            |   0.000727 |      0.07%
  44 | italy           |   0.000722 |      0.07%
  45 | duke            |   0.000716 |      0.07%
  46 | re              |   0.000706 |      0.07%
  47 | last            |   0.000705 |      0.07%
  48 | use             |   0.000703 |      0.07%
  49 | formerly        |   0.000700 |      0.07%
  50 | each            |   0.000685 |      0.07%

Excluded Words:
is, are, as, but, have, great, there, on, so, from


######## Topic 6 ########
Average row value: 0.000010
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | 10              |   0.010578 |      1.06%
   2 | 12              |   0.009729 |      0.97%
   3 | 11              |   0.007524 |      0.75%
   4 | 13              |   0.006741 |      0.67%
   5 | 20              |   0.006672 |      0.67%
   6 | 14              |   0.006597 |      0.66%
   7 | 15              |   0.006538 |      0.65%
   8 | 16              |   0.006513 |      0.65%
   9 | left            |   0.006492 |      0.65%
  10 | 18              |   0.006262 |      0.63%
  11 | 17              |   0.005773 |      0.58%
  12 | 19              |   0.004753 |      0.48%
  13 | 22              |   0.004634 |      0.46%
  14 | 24              |   0.004601 |      0.46%
  15 | 21              |   0.004308 |      0.43%
  16 | 23              |   0.004263 |      0.43%
  17 | furlongs        |   0.004251 |      0.43%
  18 | 30              |   0.003678 |      0.37%
  19 | 00              |   0.003634 |      0.36%
  20 | 25              |   0.003419 |      0.34%
  21 | 26              |   0.003242 |      0.32%
  22 | market          |   0.003163 |      0.32%
  23 | 28              |   0.003140 |      0.31%
  24 | 27              |   0.003107 |      0.31%
  25 | road            |   0.003090 |      0.31%
  26 | through         |   0.003027 |      0.30%
  27 | 52              |   0.002844 |      0.28%
  28 | 50              |   0.002822 |      0.28%
  29 | village         |   0.002730 |      0.27%
  30 | 29              |   0.002692 |      0.27%
  31 | pass            |   0.002666 |      0.27%
  32 | 32              |   0.002538 |      0.25%
  33 | way             |   0.002440 |      0.24%
  34 | cross           |   0.002313 |      0.23%
  35 | 40              |   0.002305 |      0.23%
  36 | 53              |   0.002298 |      0.23%
  37 | hill            |   0.002295 |      0.23%
  38 | 31              |   0.002265 |      0.23%
  39 | 51              |   0.002245 |      0.22%
  40 | enter           |   0.002058 |      0.21%
  41 | 34              |   0.002047 |      0.20%
  42 | 33              |   0.001973 |      0.20%
  43 | 54              |   0.001945 |      0.19%
  44 | 38              |   0.001839 |      0.18%
  45 | mile            |   0.001823 |      0.18%
  46 | bridg           |   0.001782 |      0.18%
  47 | 36              |   0.001781 |      0.18%
  48 | 55              |   0.001780 |      0.18%
  49 | esq             |   0.001719 |      0.17%
  50 | whence          |   0.001681 |      0.17%

Excluded Words:
on, you, right, miles, from, town, west, east, north, st


######## Topic 7 ########
Average row value: 0.000010
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | my              |   0.005257 |      0.53%
   2 | your            |   0.003074 |      0.31%
   3 | what            |   0.003043 |      0.30%
   4 | nor             |   0.002351 |      0.24%
   5 | how             |   0.002101 |      0.21%
   6 | doth            |   0.001730 |      0.17%
   7 | thy             |   0.001654 |      0.17%
   8 | let             |   0.001602 |      0.16%
   9 | too             |   0.001575 |      0.16%
  10 | doe             |   0.001546 |      0.15%
  11 | better          |   0.001455 |      0.15%
  12 | amongst         |   0.001365 |      0.14%
  13 | onely           |   0.001281 |      0.13%
  14 | nature          |   0.001207 |      0.12%
  15 | th              |   0.001161 |      0.12%
  16 | hee             |   0.001082 |      0.11%
  17 | know            |   0.001058 |      0.11%
  18 | thou            |   0.001023 |      0.10%
  19 | rather          |   0.001008 |      0.10%
  20 | either          |   0.000912 |      0.09%
  21 | am              |   0.000841 |      0.08%
  22 | once            |   0.000778 |      0.08%
  23 | state           |   0.000770 |      0.08%
  24 | still           |   0.000769 |      0.08%
  25 | gods            |   0.000758 |      0.08%
  26 | hot             |   0.000747 |      0.07%
  27 | rest            |   0.000742 |      0.07%
  28 | ther            |   0.000725 |      0.07%
  29 | shee            |   0.000719 |      0.07%
  30 | cause           |   0.000719 |      0.07%
  31 | cannot          |   0.000711 |      0.07%
  32 | want            |   0.000684 |      0.07%
  33 | makes           |   0.000684 |      0.07%
  34 | none            |   0.000679 |      0.07%
